eventId;parentEventId;eventDate;year;month;samplingProtocol;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight;dryWeight;eunisHabitatsTypeName
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.053;0.011;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.105;0.012;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.263;0.019;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.368;0.024;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.368;0.024;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.474;0.03;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.474;0.03;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.526;0.034;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.632;0.042;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.684;0.046;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.737;0.051;;Surface running waters
