eventId;parentEventId;eventDate;year;samplingProtocol;waterBody;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.65;3.0043
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.53;3.0072
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.73;3.1965
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;6.17;3.293
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.8;3.4871
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Berosus sp (A);Berosus;35;5.99;3.619
3;5;26/05/2004;2004;litter bag technique (phragmites australis);salina vecchia;brindisi;40.61326;18.02174;Berosus sp;Berosus;35;5.45;0.3292
3;1;26/05/2004;2004;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.97;1.8723
2;5;08/07/2004;2004;litter bag technique (phragmites australis);salina vecchia;brindisi;40.61326;18.02174;Berosus sp (A);Berosus;35;5.04;2.1855
2;5;08/07/2004;2004;litter bag technique (phragmites australis);salina vecchia;brindisi;40.61326;18.02174;Berosus sp (A);Berosus;35;7.06;2.902
1;9;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.64179;17.9612;Caenis sp;Caenis;35;4.39;0.2034
3;7;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande contrada caracci;brindisi;40.60909;17.9709;Caenis sp;Caenis;35;4.09;0.1907
3;7;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande contrada caracci;brindisi;40.60909;17.9709;Caenis sp;Caenis;35;6.31;0.4709
2;7;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande contrada caracci;brindisi;40.60909;17.9709;Caenis sp;Caenis;35;6.2;0.508
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;1.72;0.0194
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.04;0.0194
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.12;0.0228
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;1.82;0.0278
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.65;0.0312
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.85;0.0338
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.21;0.0397
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.48;0.043
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.15;0.0523
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.37;0.0743
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.48;0.081
1;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.41;0.0878
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.9;0.0945
1;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;3.49;0.1139
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.17;0.1755
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.95;0.1924
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.47;0.1963
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.15;0.2
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.28;0.2624
1;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.68;0.2844
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;4.55;0.3394
2;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;5.82;0.465
3;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;5.94;0.6608
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;1.87;0.0203
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;2.13;0.0321
